Run Time,Comparisons,Swaps,
13,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
12,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
13,2.08414e+06,1.05547e+06,
14,2.08414e+06,1.05547e+06,
Average,13,2.08414e+06,1.05547e+06
Sorted
7547,1.56163e+09,1.56155e+09,
7532,1.56163e+09,1.56155e+09,
7540,1.56163e+09,1.56155e+09,
7516,1.56163e+09,1.56155e+09,
7525,1.56163e+09,1.56155e+09,
7542,1.56163e+09,1.56155e+09,
7527,1.56163e+09,1.56155e+09,
7515,1.56163e+09,1.56155e+09,
7531,1.56163e+09,1.56155e+09,
7522,1.56163e+09,1.56155e+09,
Average,7529.7,1.56163e+09,1.56155e+09
