Run Time,Comparisons,Swaps,
111,4.9995e+07,10000,
110,4.9995e+07,10000,
111,4.9995e+07,10000,
111,4.9995e+07,10000,
110,4.9995e+07,10000,
112,4.9995e+07,10000,
118,4.9995e+07,10000,
111,4.9995e+07,10000,
111,4.9995e+07,10000,
111,4.9995e+07,10000,
Average,111.6,4.9995e+07,10000
Sorted
111,4.9995e+07,10000,
110,4.9995e+07,10000,
110,4.9995e+07,10000,
110,4.9995e+07,10000,
112,4.9995e+07,10000,
114,4.9995e+07,10000,
111,4.9995e+07,10000,
114,4.9995e+07,10000,
111,4.9995e+07,10000,
110,4.9995e+07,10000,
Average,111.3,4.9995e+07,10000
